,Weight,Abs_weight,,,,Weight,Abs_weight,,,
ciena,-0.269684864,0.269684864,,,segment,-0.195279001,0.195279001,,segment,-0.195279001
silicon,0.224698128,0.224698128,,,slide,0.180773853,0.180773853,,slide,0.180773853
laboratori,0.224698128,0.224698128,,,inform,0.169320803,0.169320803,,inform,0.169320803
segment,-0.195279001,0.195279001,,,supplement,0.153364437,0.153364437,,supplement,0.153364437
slide,0.180773853,0.180773853,,,consult,-0.141824276,0.141824276,,consult,-0.141824276
gaap,0.173815383,0.173815383,,,pursuant,0.141078243,0.141078243,,pursuant,0.141078243
inform,0.169320803,0.169320803,,,ebitda,-0.140193471,0.140193471,,ebitda,-0.140193471
non,0.166756821,0.166756821,,,ep,-0.139738901,0.139738901,,ep,-0.139738901
denburi,-0.154962335,0.154962335,,,conditionon,-0.126194504,0.126194504,,conditionon,-0.126194504
supplement,0.153364437,0.153364437,,,confer,0.121487166,0.121487166,,confer,0.121487166
three,0.149127178,0.149127178,,,accord,-0.119204302,0.119204302,,,
fti,-0.141824276,0.141824276,,,exchang,0.116272044,0.116272044,,,
consult,-0.141824276,0.141824276,,,umpqua,0.111781389,0.111781389,,,
pursuant,0.141078243,0.141078243,,,descript,-0.107192876,0.107192876,,,
ebitda,-0.140193471,0.140193471,,,aaron,-0.106835735,0.106835735,,,
ep,-0.139738901,0.139738901,,,stifel,0.105619415,0.105619415,,,
conditionon,-0.126194504,0.126194504,,,hold,0.105259306,0.105259306,,,
confer,0.121487166,0.121487166,,,financi,-0.101439176,0.101439176,,,
accord,-0.119204302,0.119204302,,,webcast,0.101040108,0.101040108,,,
exchang,0.116272044,0.116272044,,,report,0.097839413,0.097839413,,,
umpqua,0.111781389,0.111781389,,,purport,0.096386211,0.096386211,,,
descript,-0.107192876,0.107192876,,,kilroy,0.09598002,0.09598002,,,
aaron,-0.106835735,0.106835735,,,realti,0.09598002,0.09598002,,,
stifel,0.105619415,0.105619415,,,octob,0.09538492,0.09538492,,,
hold,0.105259306,0.105259306,,,period,0.093089835,0.093089835,,,
financi,-0.101439176,0.101439176,,,exhibit,-0.092970851,0.092970851,,,
webcast,0.101040108,0.101040108,,,recogn,0.09293843,0.09293843,,,
report,0.097839413,0.097839413,,,present,0.092908451,0.092908451,,,
purport,0.096386211,0.096386211,,,act,0.088567585,0.088567585,,,
kilroy,0.09598002,0.09598002,,,septemb,-0.082630749,0.082630749,,,
realti,0.09598002,0.09598002,,,forward,0.082505581,0.082505581,,,
octob,0.09538492,0.09538492,,,rang,0.082440299,0.082440299,,,
period,0.093089835,0.093089835,,,inc,-0.082131996,0.082131996,,,
exhibit,-0.092970851,0.092970851,,,februari,0.081554026,0.081554026,,,
recogn,0.09293843,0.09293843,,,month,0.080057459,0.080057459,,,
present,0.092908451,0.092908451,,,news,-0.079482536,0.079482536,,,
act,0.088567585,0.088567585,,,number,-0.079362558,0.079362558,,,
septemb,-0.082630749,0.082630749,,,pool,0.077270189,0.077270189,,,
forward,0.082505581,0.082505581,,,term,0.076763338,0.076763338,,,
rang,0.082440299,0.082440299,,,gentex,-0.075806933,0.075806933,,,
inc,-0.082131996,0.082131996,,,resourc,-0.075524438,0.075524438,,,
februari,0.081554026,0.081554026,,,exhibitsitem,-0.075524438,0.075524438,,,
month,0.080057459,0.080057459,,,,,,,,
news,-0.079482536,0.079482536,,,,,,,,
number,-0.079362558,0.079362558,,,,,,,,
pool,0.077270189,0.077270189,,,,,,,,
term,0.076763338,0.076763338,,,,,,,,
gentex,-0.075806933,0.075806933,,,,,,,,
resourc,-0.075524438,0.075524438,,,,,,,,
exhibitsitem,-0.075524438,0.075524438,,,,,,,,
